"Outra pobre vítima...","Yet another poor victim...","Otra pobre víctima..."
"P-33 é encarregado de defender os outros.","P-33 is charged with defending others.","El deber de P-33 es proteger a los demás."
"P-33 defenderá Kalil.","P-33 will defend Kalil.","P-33 defenderá a Kalil."
"Oh, que legaaal! Obrigado, robô! Já que agora somos amigos, vou te chamar de Beepy!","Oh, hooray! Thanks, robot! And since we're friends now, I'm gonna call you Beepy!","¡Hala, viva! ¡Gracias, robot! ¡Y como ahora somos amigos, te voy a llamar Bip-bip!"
"Nossa, isso foi assustador.","Wow, that was scary.","Guau, qué miedo."
"O barulho dos intrusos fez a estrutura colapsar. Eles deveriam ter prosseguido com certo cuidado.","The noise of the intruders caused the structure to fail. They should have proceeded with more caution.","El ruido de los intrusos ha provocado el derrumbe de la estructura. Deberían haber actuado con más cautela."
"Um intruso pereceu.","One intruder has perished.","Un intruso ha fallecido."
"Ah, isso é terrível.","Oh, that's terrible.","Vaya, eso es terrible."
"Acho que eles não estavam me perseguindo. Eles pareciam legais.","I don't think they were chasing me. They seemed nice.","No creo que me estuvieran persiguiendo. Parecían majos."
"Ah, oi. Já faz um tempo.","Oh, hey there. It's been a while.","Eh, buenas. Cuánto tiempo."
"Você é o pequenino, não é? Você cresceu bastante.","You're the little one, aren't you? You've grown up.","Tú eres el pequeño, ¿no? Has crecido mucho."
"Como está seu irmão?","How fares your brother?","¿Cómo le va a tu hermano?"
"......","......","......"
"Meu irmão morreu faz quatro anos.","My brother's been dead for four years.","Mi hermano lleva cuatro años muerto."
"Ah, entendi... Por favor, me perdoe pela pergunta.","Oh, I see... Please forgive the question.","Ah, vaya... Discúlpame por la pregunta."
"Tudo bem.","It's okay.","No pasa nada."
"Preciso te perguntar algo.","I need to ask you something.","Necesito preguntarte una cosa."
"O que é?","What is it?","¿Qué pasa?"
"Ouviu algum rumor sobre Sombras por aqui?","You heard any rumors about Shades around here?","¿Has oído algún rumor sobre Sombras por los alrededores?"
"Não os pequenos. Tô procurando por um que é excepcionalmente grande e poderoso.","Not the little ones—I'm looking for one that's unusually big and powerful.","No me refiero a las pequeñas; estoy buscando a una que es más grande y poderosa de lo normal."
"Não, não ouvi nada parecido. Mas também não tenho prestado muita atenção.","No, I haven't heard about anything like that. But I haven't really been listening.","No, no he oído nada de eso. Pero tampoco he prestado mucha atención."
"Tudo que eu quero é destruir robôs.","All I want is to destroy robots.","Lo único que quiero es destruir robots."
"Despedaçá-los completamente...","Just rip 'em up...","Hacerlos pedazos..."
"Hm... tudo bem?","Uh...okay?","Esto... vale..."
"Deixa pra lá então. Te vejo mais tarde.","Never mind then. See you later.","Bueno, da igual. Nos vemos."
"Espera!","Wait!","¡Espera!"
"Sim?","Yes?","¿Sí?"
"Recentemente encontrei uma arma. Uma arma muito poderosa.","I recently got my hands on a weapon. A very powerful weapon.","Hace poco le eché el guante a un arma. Una muy poderosa."
"Pensei que você pudesse fazer bom uso dela.","I thought you might get some use out of it.","Pensé que a lo mejor tú podrías darle uso."
"Hmm. Essa espada já viu dias melhores.","Hmm. This sword has seen better days.","Mmm. Esta espada ha visto días mejores."
"Sim, está muito judiada. Quer dizer, tem potencial, mas está relativamente fraca no momento.","Yeah, it's pretty beat-up. I mean, there's potential, but it's fairly powerless right now.","Sí, está muy cascada. A ver, tiene potencial, pero ahora mismo no sirve para mucho."
"Você pode consertá-la?","Can you repair it?","¿Puedes repararla?"
"Eu posso consertar qualquer coisa com os materiais adequados.","I can repair anything with the proper materials.","Puedo reparar lo que sea con los materiales adecuados."
"Se você consertar, vou pegar os materiais.","If you'll fix it, I'll get the parts.","Si la vas a reparar, te conseguiré las piezas."
"Eee hee! Tô tão feliz por não ter jogado isso fora!","Eee hee! I'm so glad I decided not to throw this out!","¡Ji, ji! ¡Cómo me alegro de no haberla tirado!"
"Vou precisar de um pouco de Liga de Memória.","I'm gonna need some memory alloy.","Voy a necesitar algo de aleación de memoria."
"Somente os inimigos grandões do segundo nível do complexo têm elas, então toma cuidado.","Only the real big enemies on the second basement level have them, so watch yourself. ","Solo la tienen los enemigos más grandes de la segunda planta del sótano, así que ándate con cuidado. "
"Esse é o código de acesso para descer. Use no elevador.","Also, here's the passcode to get down there. Use it on the elevator.","Ah, y este es el código para llegar allí abajo. Úsalo en el ascensor."
"Okay, tá pronto? O que é um navio?","Okay, ready? What's a ship?","Vale, ¿preparado? ¿Qué es un barco?"
"Um grande navio que transporta cargas e passageiros sobre corpos de água.","A large seagoing vessel that carries freight and passengers over bodies of water.","Una embarcación marítima de gran tamaño... que transporta mercancía... y pasajeros... sobre masas de agua."
"Yaaay! Você é incrível, Beepy! Você aprendeu muito!","Yaaay! You're so great, Beepy! You've learned so much!","¡Toooma! ¡Eres genial, Bip-bip! Has aprendido un montón!"
"Você... me ensinou muito... Kalil.","You...have taught me much...Kalil.","Me... has enseñado mucho..., Kalil."
"Você... me ajudou a expandir... meu vocabulário.","You...have helped to expand...my vocabulary.","Me... has ayudado a expandir... mi vocabulario."
"Você me instruiu nos caminhos do mundo exterior.","You have instructed me in the ways of the outside world.","Me... has instruido... en las cosas... del mundo exterior."
"Bem, existem milhares de coisas que eu também não sei.","Well, there's tons of stuff I don't know either.","Bueno, hay un montonazo de cosas que yo tampoco sé."
"Talvez devêssemos sair daqui para explorar o mundo!","Maybe we should leave here and go explore the world!","¡A lo mejor deberíamos salir de aquí e ir a explorar el mundo!"
"Porque nós... somos amigos.","Because we...are friends.","Porque nosotros... somos amigos."
"Tá bem! Uhu! Isso vai ser divertido!","That's right! Yay! It's gonna be fun!","¡Sí, es verdad! ¡Yuju! ¡Nos lo vamos a pasar bien!"
"Isso que você encontrou é muito impressionante!","That's some pretty impressive stuff you found!","¡Menudo material tan increíble has encontrado!"
"Vou começar a aprimorar sua arma agora mesmo.","I'll start upgrading your weapon right away.","Voy a ponerme a mejorar tu arma ahora mismo."
"E já que você me fez um favor, nem vou te cobrar por isso.","And since you did me a favor, I won't even charge you for it.","Y, como me has hecho un favor, no te voy a cobrar nada."
"Bem, na verdade...","Well, actually...","Bueno, la verdad es que..."
"Vai levar um pouco mais de tempo do que pensei.","This is gonna take a little more time than I thought.","Esto va a llevarme más tiempo del que pensaba."
"Não tem por que você ficar esperando aqui. Vou te mandar uma carta assim que estiver pronto.","No sense in you waiting around. I'll send you a letter once it's ready.","No tiene sentido tenerte esperando. Te enviaré una carta cuando esté lista."
"Isso seria ótimo.","That would be great.","Eso sería estupendo."
"Não tem porque você ficar esperando. Te mando uma carta assim que estiver pronto.","No sense in you waiting around. I'll send you a letter once it's ready.","No tiene sentido tenerte esperando. Te enviaré una carta cuando esté lista."
"Perfeito, então.","That would be great.","Eso sería estupendo."
"Parece que nos sobrou um certo tempo livre.","It appears we have some free time on our hands.","Parece que disponemos de tiempo libre."
"Um pedido pessoal, hmm?","A personal request, hmm?","Una petición personal, ¿eh?"
"Ele fez muito por nós. Nós devemos ver o que ele quer.","He's done a lot for us. We should see what he wants. ","Ha hecho mucho por nosotros. Deberíamos ir a ver qué quiere. "
"Partimos para o Lixão, então.","Off to the Junk Heap, then.","Pues vamos a la chatarrería entonces."
"Olá. Sua arma está pronta pra uso.","Hey there. Your weapon is ready to go.","Buenas. Tu arma ya está lista."
"Ótimo. Obrigado.","Great. Thanks.","Genial. Gracias."
"......","......","......"
"Sabe, com uma arma dessa...","You know, with a weapon like that...","Ya sabes, con un arma como esa..."
"O que você ia dizer?","You were going to say?","¿Qué ibas a decir?"
"Preciso te pedir um favor.","I need to ask you for a favor.","Necesito pediros un favor."
"Ah é?","Oh yeah?","¿Ah, sí?"
"Quero que você vingue meu irmão!","I want you to avenge my brother!","¡Quiero que venguéis a mi hermano!"
"Esse é um favor muito ponderável.","That is a rather ponderous favor.","Es un favor más bien laborioso."
"É minha missão! A razão pela qual tenho criado essas armas nos últimos quatro anos.","It's my mission! It's the whole reason I've been creating these weapons for the past four years.","¡Es mi misión! Es la única razón por la que he estado creando estas armas los últimos cuatro años."
"Não me importo com dinheiro! Só me importo em fazer uma arma forte o suficiente para matar aqueles desgraçados!","I don't care about money! I only care about making a weapon strong enough to kill those bastards!","¡Me da igual el dinero! ¡Lo único que importa es hacer un arma lo bastante fuerte como para matar a esos desgraciados!"
"Que desgraçados?","Which bastards?","¿Qué desgraciados?"
"Aqueles na montanha. Aquela Sombra e seu robô!","The ones in the mountain. That little Shade and his robot!","Los de la montaña. ¡Esa pequeña Sombra y su robot!"
"Uma Sombra se uniu a um robô?","A Shade has joined forces with a robot?","¿Una Sombra ha hecho equipo con un robot?"
"Tem uma Sombra lá dentro?","There's a Shade in there?","¿Hay una Sombra allí?"
"Sim.","Yes.","Sí."
"......","......","......"
"E o que faremos, mmm?","And what have we decided, mmm?","¿Y qué hemos decidido entonces, eh?"
"Vamos matá-lo.","We're gonna kill it.","Vamos a matarlos."
"Você precisa vingar meu irmão!","You've got to avenge my brother!","¡Tenéis que vengar a mi hermano!"
"Mata ele! Mata aqulele maldito robô! Estraçalha ele!","Kill him! Kill that damn robot! Rip 'em up!","¡Matadlo! ¡Matad a ese puto robot! ¡Hacedlo pedazos!"
"Beepy... Me desculpa... Não sou forte o suficiente...","Beepy... I'm sorry... I'm not strong enough...","Bip-bip..., lo siento... No soy lo bastante fuerte..."
"Eu... Eu queria... Estar com você... Para sempre.","I...I wanted...to be with you...forever.","Yo... quería... estar contigo... para siempre."
"Kalil... Juntos...","Kalil... Together...","Kalil... Juntos..."
"Beepy sozinho... Beepy... Chorar...?","Beepy alone... Beepy...cry...?","Bip-bip solo... Bip-bip..., ¿llorar...?"
"Você...","You...","Tú..."
"Sua máquina estúpida! Você matou minha família! Você tirou tudo de mim!","You stupid machine! You killed my family! You took everything from me!","¡Máquina estúpida! ¡Has matado a mi familia! ¡Me lo quitaste todo!"
"Por que você tinha que estar aqui!? Por que você!? POR QUÊ!?","Why did you have to be here!? Why you!? WHY!?","¡¿Por qué tenías que estar aquí?! ¡¿Por qué tú?! ¡¿Por qué?!"
"Sua máquina estúpida! Você matou minha família! Você tirou tudo de mim!","You stupid machine! You killed my family! You took everything from me!","¡Máquina estúpida! ¡Has matado a mi familia! ¡Me lo quitaste todo!"
"Por que você tinha que estar aqui!? Por que você!? POR QUÊ!?","Why did you have to be here!? Why you!? WHY!?","¡¿Por qué tenías que estar aquí?! ¡¿Por qué tú?! ¡¿Por qué?!"
"Kah hah hah hah! Lindo! Mas que perfeito exemplo de humanidade!","Kah hah hah hah! Beautiful! What a perfect example of humanity!","¡Ja, ja, ja! ¡Precioso! ¡Qué ejemplo perfecto de humanidad!"
"É melhor não deixarmos ele aqui.","We'd better not leave him here.","Será mejor que no le dejemos aquí."
"Ei, vamos lá. Já chega.","Hey, come on. That's enough.","Eh, vamos. Ya es suficiente."
"Aaah ha ha! Consegui! Agora que essa maldita coisa está morta, posso vasculhar onde eu quiser!","Aaah ha ha! I did it! Now that this goddamn thing is dead, I can forage wherever I want!","¡Ja, ja, ja! ¡Lo he conseguido! ¡Ahora que esta chatarra asquerosa está destrozada puedo ponerme a rebuscar por donde quiera!"
"Cê vai ver, aberração maldita! Agora posso fazer TODO TIPO de armas poderosas!","Just wait, you goddamn freak! Now I can make all KINDS of powerful weapons!","¡Ya verás, puto monstruo! ¡Ahora puedo hacer toda clase de armas poderosas!"
"Só deixa pra mim! Deixa tudo pra mim! HA HA HA HA HA! AAAH HA HA HA HA HAAAAAAH!","Just leave it to me! Leave it all to me! HA HA HA HA HA! AAAH HA HA HA HA HAAAAAAH!","¡Déjamela a mí! ¡Déjamela toda para mí! ¡Ja, ja, ja!"
"Olha, já entendemos, tá bom? Fala sério...","Look, we get it, okay? Really...","Mira, lo hemos conseguido, ¿vale? Realmente..."
