"Afastem-se, seus monstros!","Get away, you freaks!","¡Largo de aquí, monstruos!"
"(Lembro-me quando costumávamos ter todo tipo de alimentos exóticos para vender. Agora olha isso... )","(I remember when we used to have all manner of exotic foods for sale. Now look at it...)","(Antes solíamos tener muchos alimentos exóticos a la venta. Mira ahora...)."
"(Nosso antigo rei era um governante sábio e justo.)","(Our previous king was a wise and just ruler.)","(Nuestro anterior rey era un gobernante sabio y justo)."
"(Eu não como legumes há tanto tempo... )","(I haven't eaten a vegetable in so long...)","(Llevo muchísimo sin comer verdura...)."
"(Faz uma eternidade desde que estranhos apareceram aqui!)","(It's been forever since we had strangers here!)","(Hemos pasado una eternidad sin ver forasteros por aquí)."
"(Como está sua jornada?)","(How are you faring?)","(¿Cómo te va?)."
"(Tenha um bom dia, respeitando as regras.)","(Have a nice, rule-abiding day.)","(Que pases un estupendo día respetando las reglas)."
"(O príncipe se tornou um bom rei.)","(The prince has grown into a fine king.)","(El príncipe se ha convertido en un buen rey)."
"(Ele é um rei de fato e de direito agora.)","(He is a king in act as well as deed now.)","(Ahora es rey con todas las de la ley)."
"(Aquele garoto, se tornando rei... Imagine só!)","(That boy, becoming king... Just imagine!)","(Ese chico, convirtiéndose en rey... ¡Ver para creer!)."
"(Eu sempre soube que nosso rei prevaleceria no final.)","(I always knew our king would prevail in the end.)","(Siempre he sabido que nuestro rey acabaría gobernando)."
"(Tenho certeza de que nosso antigo rei agora descansa em paz na areia.)","(I'm sure our previous king now rests easy within the sand.)","(Estoy seguro de que su predecesor descansa tranquilo en la arena)."
"Entre! Agora!","Get inside! Now!","¡Adentro! ¡Rápido!"
"Sombras! Sombras na aldeia!","Shades! Shades in the village!","¡Sombras! ¡Hay Sombras en la aldea!"
"Oh meu Deus, onde está minha esposa!? Me ajude a encontrá-la!","Oh god, where's my wife!? You've gotta help me find her!","¡Por los dioses, ¿dónde está mi mujer?! ¡Ayúdame a encontrarla!"
"Temos que impedi-los antes que destruam a vila!","We have to stop them before they destroy the village!","¡Tenemos que detenerlas antes de que destruyan la aldea!"
"Derrote os menores o mais rápido que puder!","Dispatch these smaller ones as fast as you can!","¡Elimina a las más pequeñas lo antes posible!"
"Yaaah!","Yaaah!","¡Yaaah!"
"Afastem-se!","Get away!","¡Fuera de aquí!"
"Minha perna! Aquilo pegou minha perna!","My leg! It got my leg!","¡Ah, me ha alcanzado en la pierna!"
"Fechem a porta da frente! Rápido!","Close the front door! Hurry!","¡Cierra la puerta delantera! ¡Corre!"
"Leve todos para a biblioteca! É a construção mais forte da cidade!","Get everyone into the library! It's the strongest building in town!","¡Lleva a todos a la biblioteca! ¡Es el edificio más seguro de la ciudad!"
"Por que essas coisas vieram aqui!?","Why did these things come here!?","¡¿Por qué han venido estas cosas aquí?!"
"Corram! Saiam daqui!","Run! Get outta here!","¡Corre! ¡Sal de aquí!"
"Eu preciso de água, agora!","I need water, now!","¡Necesito agua cuanto antes!"
"Por aqui! Rápido!","This way! Hurry!","¡Por aquí! ¡Rápido!"
"*soluço*","*sob*","*sollozo*"
"Espere! Minha filha ainda tá lá fora!","Wait! My daughter's still outside!","¡Espera! ¡Mi hija sigue ahí fuera!"
"Eu... Não consigo aguentar...","I... I can't hold out...","N-no puedo aguantar más..."
"É o fim do mundo...","It's the end of the world...","Esto es el fin..."
,,
"Leve as crianças para dentro! Rápido!","Get the children inside! Hurry!","¡Lleva dentro a los niños! ¡Deprisa!"
"Que diabos é aquilo!?","What the hell is that!?","¡¿Qué diablos es eso?!"
"Pode ser outra Sombra?","Could it be another Shade?","¿Podría ser otra Sombra?"
"Uma Sombra regenerativa? Como saberemos se nossos ataques estão funcionando?","A regenerating Shade? How will we even know if our attacks are working?","¿Una Sombra que se regenera? ¿Cómo sabremos si nuestros ataques funcionan?"
"Teremos que continuar batendo nele até descobrirmos!","We'll just have to keep hitting it until we find out!","¡Tendremos que seguir dándole hasta que lo descubramos!"
"Isso não parece bom!","That doesn't look good!","¡Esto no pinta bien!"
"Não podemos deixá-la chegar à biblioteca, não importa o que aconteça!","We can't let it get to the library, no matter what!","¡No podemos permitir que llegue a la biblioteca, cueste lo que cueste!"
"Ei, é um javali selvagem!","Hey, it's a wild boar!","¡Eh! ¡Un jabalí salvaje!"
"Você tem habilidade para caçar um desses?","Have you the skill to hunt one of those down?","¿Tienes lo que hay que tener para darle caza a uno de esos?"
"Não sei... Eles parecem bem fortes!","I dunno—they look pretty strong!","No lo sé... ¡Parecen muy fuertes!"
"Ah! Isso é impossível!","Gah! This is impossible!","¡Agh! ¡No hay manera!"
"Nunca conseguiremos pegar aqueles lobos, eles são rápidos demais!","We'll never catch those wolves—they're too fast!","Nunca conseguiremos alcanzar a esos lobos... ¡corren demasiado!"
"Acalme-se, rapaz! Use essa chance para preparar uma defesa sólida.","Easy, lad! Use this chance to prepare a solid defense.","No desesperes. Aprovecha para preparar una buena defensa."
"Não posso vencer só me defendendo!","I can't win by just defending!","¡No puedo vencer si tan solo me defiendo!"
"Você terá a chance de atacar. Certifique-se de não perder a oportunidade.","You will have your chance to strike. Be certain you do not miss it.","La ocasión de atacar te llegará, así que no falles."
"O que foi isso?","What was that?","¿Qué ha sido eso?"
"É conhecido como um escorpião.","It is known as a scorpion.","Se conoce como ""escorpión""."
"Filo Arthropoda, subfilo Chelicerata, ordem Scorpionida. Eles são bem próximos em forma e estrutura a outros aracnídeos.","Phylum Arthropoda, subphylum Chelicerata, order Scorpionida. They are closely related in form and structure to other arachnids.","Filo Arthropoda, subfilo Chelicerata, orden Scorpionida. Son arácnidos."
"Eu realmente não tô te entendendo.","I am so not following you right now.","Estoy perdidísimo ahora mismo."
"É um inimigo. Mate-o.","It's an enemy. Kill it.","Es un enemigo. ¡Mátalo!"
"ESSA PARTE eu entendi!","Now THAT I understand!","¡Eso sí que lo entiendo!"
"Quanto afeto! Este homem claramente foi enfeitiçado pela amante.","Such affection! This man has clearly been entranced by his lover.","¡Cuánto sentimiento! El tipo está perdidamente enamorado."
"Me parece que ele está sendo enganado.","Seems to me like he's being played.","Me parece que ella juega con él."
"O que você quer dizer?","Whatever do you mean?","¿Qué quieres decir?"
"Aaaah, essa pode ser uma daquelas coisas que um livro de magia simplesmente não entende.","You knooow, this may be one of those things a magic book just can't understand.","Puede que esta sea una de esas cosas que no comprenden los libros mágicos."
"Isso é ridículo! Não há nada que meu conhecimento não compreenda!","Ridiculous! There is nothing beyond my knowledge!","¡Qué absurdo! ¡No hay nada que se escape a mi entendimiento!"
"Heh. Se você diz.","Heh. If you say so.","¡Ja! Si tú lo dices..."
"Você acha possível que esse homem esteja sendo enganado por sua amante?","Do you think it possible that this man is being deceived by his lover?","¿Crees que la chica lo está engañando?"
"Sim, acho.","Yeah, I do.","Sí, eso es."
"Então devemos informá-lo imediatamente!","Then we shall inform him at once!","Entonces, ¡tenemos que decírselo!"
"É, talvez seja melhor não fazermos isso.","Yeaaah, probably better if we don't.","Mmm, no creo que sea una buena idea."
"O que é isso!? Finalmente encontrou alguém que não está disposto a ajudar?","What's this!? Have you finally found someone you are unwilling to aid?","¡Que me pellizquen! ¿Al fin has encontrado una causa por la que no luchar?"
"Olha, relacionamentos são complicados, e às vezes você não consegue entender o que está acontecendo entre um casal—","Look, relationships are messy, and sometimes you can't always understand what's going on between a couple—","Las relaciones de pareja son complicadas y a veces es difícil entender..."
"Não há nada neste mundo que Grimório Weiss não entenda!","There is nothing in this world that Grimoire Weiss cannot understand!","¡No hay nada en este mundo que Grimoire Weiss no pueda entender!"
"Sim, sim.","Yeah, yeah.","Claro, claro..."
"Que triste o que aconteceu aquele pobre cachorro...","It's too bad about that poor dog...","Qué pena lo del pobre perrito..."
"Vai ser difícil para o velho lidar com isso.","This is gonna be hard for that old timer to deal with.","Esto va a ser difícil de digerir para el anciano..."
"Seja cachorro ou homem, nenhuma criatura viva pode escapar de seu destino final.","Be they dog or man, no living thing can escape their ultimate fate.","Ya sea animal o humano, ningún ser vivo puede escapar al destino final."
"Isso te inclui, Weiss?","That include you, Weiss?","¿Eso te incluye a ti, Weiss?"
"Hmm. De fato, nunca considerei a pergunta.","Hmm. In truth, I have never considered the question.","Eh... La verdad es que nunca me había preguntado eso."
"Suponho que em algum momento possa simplesmente... desaparecer da existência.","I suppose at some point in time I may simply...wink out of existence.","Supongo que, llegado el momento, simplemente... dejaré de existir."
"Bem, isso parece horrível!","Well that sounds horrible!","¡Pero eso es horrible!"
"Um... Diga...","Um... Say...","Mmm... Pongamos que..."
"Sim?","Yeah?","¿Sí?"
"Olhe aqui, rapaz. Se eu algum dia me encontrar... partindo deste mundo—","See here, lad. If I ever find myself...departing this world—","Escúchame. Pongamos que me esfumo de... de este mundo..."
"Para de ser mórbido, Weiss! Além disso, você não pode morrer. Você é feito de papel!","Quit being morbid, Weiss! Besides, you can't die. You're made of paper!","¡No te pongas melodramático, Weiss! Tú no puedes morir, ¡estás hecho de papel!"
"Hmm. Sempre se pode ter esperança, suponho.","Hmm. One can always hope, I suppose.","Mmm... Nunca se sabe, ¿no?"
,,
"O que há de errado?","What's wrong?","¿Qué pasa?"
"Como um filho pode trazer tanta desesperança para sua família?","How can a son bring so much despair to his family?","¿Cómo puede un hijo desquiciar tanto a su familia?"
"Ele parece não sei importar com a dor que causou. É deplorável!","He seems completely ignorant of the pain he has caused. It's deplorable!","Parece ignorar por completo el dolor que ha causado. ¡Es deplorable!"
"Eu adoro quando você soa como um velho ranzinza, Weiss.","I love it when you sound like a grumpy old man, Weiss.","Me encanta cuando hablas como un viejito cascarrabias, Weiss."
"Talvez eu soe assim apenas porque existo desde tempos imemoriais!","Perhaps I only sound that way because I have existed since time immemorial!","Quizá sueno así... ¡porque llevo existiendo desde tiempos inmemoriales!"
"Quantos anos você tem, afinal?","How old are you, anyway?","¿Qué edad tienes, a todo esto?"
"Mmm... Então, eu não tenho certeza exatamente.","Mmm... You know, I'm not exactly sure.","Bueno... No estoy del todo seguro."
"Dizem que a perda de memória é um sinal de velhice.","They say memory loss is a sign of old age.","La pérdida de memoria suele ser un signo de envejecimiento."
"Bem, prefiro isso a ser um mentiroso indecente como aquele filho!","Well, it's still preferable to being a deplorable liar like that son!","¡Pues prefiero eso a ser un mentiroso compulsivo como ese crío!"
"O cultivo de Lágrimas da Lua exige uma quantidade notável de trabalho.","Cultivating Lunar Tears must require a remarkable amount of work.","Para cultivar Lágrimas lunares debe hacer falta un enorme esfuerzo."
"Sim. Mesmo assim, acho bacana o cara ter trabalhado tanto ao ponto de poder convidar sua namorada para acompanhá-lo.","Yeah. Even so, it's nice that guy worked so hard to be able to invite his girlfriend out to join him.","Sí. Es hermoso que se esfuerce tanto para pedirle a su novia que salga con él."
,,
"Hmm. Mas quem pode dizer que a namorada realmente quis esperar?","Hmm. But who can say if said girlfriend honestly wanted to wait?","Mmm. Pero ¿quién sabe si la joven quería esperar en realidad?"
"O que você quer dizer?","What do you mean?","¿A qué te refieres?"
"Com certeza a mulher quis viver com ele, não?","Surely the woman desired to live with him, did she not?","La mujer quería vivir con él, ¿no es así?"
"Bem, provavelmente sim, mas ele não foi capaz de tornar isso real. É por isso que ele a deixou na vila.","Well, probably, yeah, but he wasn't able to make it happen. That's why he left her in the village.","Es posible, pero las circunstancias lo impedían. Por eso se quedó en la aldea."
"Teria sido difícil, sim, mas ainda sim é melhor do que uma vida de solidão.","It would have been difficult, yes, but perhaps preferable to a life of solitude.","Habría sido complicado, pero seguro que mejor que una vida en soledad."
"Por que eles não pensaram no tempo e na distância que poderia separá-los?","Why did they not think about how much time and distance would separate them?","¿Por qué no consideraron el tiempo y la distancia que los separaba?"
"Isso não importa mais. Eles poderão se ver muito em breve.","It doesn't matter anymore—they'll be able to see each other just fine soon enough.","Eso ya no importa, pronto podrán estar juntos."
"Vamos esperar que sim.","Let us hope this is the case.","Esperemos que así sea."
"Pena que ela não estava lá.","Shame she wasn't there.","Que pena que ella no estuviera allí."
"De fato.","Indeed.","Pues sí."
"Acho que você estava certo, Weiss. Eles deveriam ter ficado juntos.","Guess you were right, Weiss—they should have stuck together.","Puede que tengas razón, Weiss... deberían haber permanecido juntos."
"Acho difícil determinar quem está certo nesse ponto.","I find it difficult to determine who is right at this point. ","Me resulta complicado determinar quién tiene razón a estas alturas. "
"De qualquer forma, é melhor voltarmos onde ele está.","In any case, we had best return to him.","Sea como sea, será mejor que volvamos con él."
"Uma bebida com rabo de lagarto certamente parece impressionante!","A drink with a lizard's tail inside certainly sounds impressive!","¡Una bebida con la cola de un lagarto dentro suena bastante imponente!"
"Heh. Sim, a Popola muda muito quando começa a beber.","Heh. Yeah, Popola's really something when she starts drinking.","Je. Sí, la verdad es que cuando Popola bebe, se transforma."
"Só pode ser brincadeira!","Surely you jest!","¡Tienes que estar de guasa!"
"Tô falando sério. Uma vez ela ficou tão bêbada que quase destruiu a loja toda.","No joke. Once she got so plastered, she practically destroyed the shop.","Para nada. Una vez se cogió tal tajada que casi destroza la taberna entera."
"Derrubou uma parede e tudo mais.","Knocked down a wall and everything.","Tiró abajo una pared y todo."
"O álcool afeta a Devola da mesma maneira?","Does alcohol affect Devola in the same manner?","¿Y le afecta el alcohol igual a Devola?"
"Devola é mais sensível.","Devola's more of a lightweight.","Pues la verdad es que Devola no bebe."
"Se ela bebe um pouco, fica agindo toda fofinha e miando como um gatinho...","If she has even a little, she starts acting all cute and meowing like a kitten...","Si lo hace, se pone superadorable y empieza a maullar como una gatita..."
"Devola!? Sério!?","Devola!? For true!?","¡¿Devola?! ¿En serio?"
"Seríssimo.","For true.","En serio."
"O álcool é mesmo uma substância temível.","Alcohol is a fearsome chemical indeed.","El alcohol es un mejunje aterrador."
"Se me permitir...","If I may...",
"O que é?","What is it?",
"O que estamos fazendo aqui?","What are we doing here?",
"Estamos organizando todas essas coisas.","We're organizing all this stuff.",
"Deixe-me reformular. Isso é para ajudar o comerciante em treinamento, certo?","Let me rephrase myself. This is for the sake of the merchant in training, yes?",
"Isso.","Yes.",
"Então não seria mais apropriado para ele cuidar de suas próprias coisas?","Then would it not be more appropriate for him to take care of his own belongings?",
"O homem está em um momento difícil, Weiss. Só estamos ajudando ele.","The man's in a pinch, Weiss. We're just helping him out.",
"Anseio pelo dia em que alguém nos mostre tamanha gentileza.","I yearn for the day when someone shows such kindness to us.",
"Que desperdício tremendo de nosso tempo.","What a tremendous waste of our time.","Menuda pérdida de tiempo."
"Quem diria que o cara ficaria enjoado no mar?","Who knew the guy would get seasick?","¿Quién iba a imaginar que el tipo se marearía?"
"Na próxima vez, quem sabe ele encontre um trabalho que não envolva o oceano.","Maybe next time he can try finding work that doesn't involve the ocean.","La próxima vez, que se busque un trabajo alejado del mar."
"Talvez na próxima ele tente ficar em casa sem fazer nada!","Maybe next time he'll try sitting at home and doing nothing!","¡La próxima vez podría quedarse tranquilito en casa sin hacer nada!"
"Sua Yonah certamente tem alguns gostos... excêntricos.","Your Yonah certainly has some...eccentric tastes.","Esa Yonah tuya tiene un gusto un tanto... extraño."
"Ela sempre foi desse jeito.","She's always been that way.","Siempre ha sido así."
"Mas se é isso que ela quer, é o que vou encontrar.","But if that's what she wants, that's what I'll get.","Pero si es lo que quiere, se lo conseguiré."
"O trabalho de um irmão mais velho me parece ser difícil.","Being an older brother appears to be a difficult job.","El papel de hermano mayor parece complicado."
"Eu só preciso ver ela sorrindo; faz tudo valer a pena.","I just need to see her smile; then it's all worth it.","Solo verla sonreír hace que merezca la pena."
"Meu conhecimento diz que juventude é simplesmente um sinônimo de estupidez!","It is my experience that youth is simply a synonym for stupidity!","Mi experiencia me dice que la juventud es sinónimo de estupidez."
"Ah, fala sério! Ele só quer proteger a cidade dele. Acho isso legal.","Oh, come on! He just wants to protect his city. I think it's nice.","¡Venga, hombre! Tan solo quiere proteger su ciudad. A mí me parece bonito."
"Ah, sim. Sim, bem legal mesmo.","Oh, yeah. Yeah, that's real nice.","Oh, claro. Sí, sí, muy bonito."
"Espera, você não era a guardiã da sua aldeia, Kainé?","Wait, weren't you the guardian of your village, Kainé?","Un momento, ¿tú no fuiste guardiana de tu aldea, Kainé?"
"Sim, mas... Olha, tudo que posso dizer é... Não fale comigo.","Yeah, but... Look, all I'm saying is... Don't talk to me.","Sí, pero... Verás, lo que quiero decir es que... Cállate."
"Oh, sua boca está muito cheia de areia para formular uma resposta grosseira!?","Oh, is your mouth too full of sand to formulate a crude response!?","¡¿Tienes la boca demasiado llena de arena como para formular una respuesta?!"
"Vá se foder e morra, livro.","Fuck off and die, book.","Anda y que te den por el lomo."
"Então não havia corpo para ser encontrado...","So there was no body to be found...","Así que no había cuerpo alguno..."
"O que tá acontecendo aqui?","What's going on here?","¿Qué está pasando?"
"Ela deve ter sido levada pelas areias. ...Ou pelos lobos.","She must have been carried off by the sands. ...Or the wolves.","Se la habrá llevado la corriente... o los lobos."
"Oh não...","Oh no...","Oh, no..."
"Ou talvez o homem tenha se enganado o tempo todo.","Or perhaps the man was mistaken all along.","O puede que el tipo no tuviera ni idea."
"Por que ela afirmou não conhecê-lo?","Why'd she claim not to know him?","¿Por qué diría ella que no lo conocía?"
"Eles não estavam apaixonados?","Weren't they in love?","¿Acaso no estaban enamorados?"
"Talvez a motivação deles seja mais profunda do que nosso conhecimento da situação.","Perhaps their reasoning runs deeper than our knowledge of the situation.","Puede que sus razones vayan más allá de lo que sabemos sobre la situación."
"O amor verdadeiro muitas vezes é cercado de mal-entendidos.","True love is often beset with misunderstandings.","El amor verdadero suele verse atacado por la confusión."
"Que seja. Isso é estúpido.","Whatever. This is stupid.","Lo que tú digas. Qué estupidez."
"Caçar ovelhas... Realmente não há tarefa que você não faça.","Sheep hunting... There really is no task too immodest for you.","Cazar ovejas... Desde luego no hay tarea demasiado vergonzosa para ti."
"Ei, é mais difícil do que parece! Elas são muito ariscas e fogem rápido.","Hey, it's harder than it sounds! They're really squirrely,<LF>and they run away fast.","¡Oye, no es tan fácil como parece! Son huidizas y corren que se las pelan."
"Então as atinja com magia!","So smite them with magic!","¡Pues reviéntalas con magia!"
"Ah-há!","Ah-hah!","¡Ajá!"
"O que é isso!? Sombras!?","What is it!? Shades!?","¡¿Qué pasa?! ¡¿Sombras?!"
"Não, você tá CERTO! Se eu usar magia, não preciso chegar perto!","No, you're RIGHT! If I use magic, I don't have to get close!","No, ¡que tienes razón! Si uso la magia no hace falta que me acerque."
"Posso fazer outra sugestão?","Might I make another suggestion?","¿Puedo sugerir algo más?"
"O quê?","What?","¿Qué?"
"Não grite como um louco toda vez que você fizer uma descoberta.","Do not yell like a madman every time you come to a realization.","No grites como un tarado cada vez que te des cuenta de algo."
"Você recebe essas solicitações estúpidas de viagem com frequência?","Do you often get asked to handle such inane shopping trips?","¿Suelen encargarte recados tan inútiles a menudo?"
"Eu não acho essas viagens estúpidas.","I don't think these trips are inane.","No son inútiles."
"Yonah e eu sobrevivemos com os salários que ganho desses trabalhos.","Yonah and I survive on the wages I earn from these jobs.","Yonah y yo sobrevivimos gracias a lo que gano con estos trabajos."
"Todos aqui têm dificuldades, mas ainda conseguem me dar trabalho.","Everyone has it tough around here, but they still manage to give me work.","La vida es difícil por aquí, pero la gente se las apaña para darme trabajo."
"E, honestamente, sou grato por isso.","Honestly, I'm grateful for it.","La verdad, doy gracias por ello."
"Entendi. Bem, continue trabalhando bem!","I see. Well then, keep up the good work!","Entiendo. Bueno, ¡pues sigue así!"
"Pode deixar!","I will!","Eso haré."
"Ei, Weiss?","Hey, Weiss?","Oye, Weiss."
"Sim, rapaz?","Yes, lad?","Dime."
"Você não é todo poderoso? Não pode apenas... você sabe? Usar magia para arrumar este lugar?","Aren't you all-powerful? Can't you just...you know? Use magic to zap this place into shape?","¿No eres todopoderoso? Usa tu magia para ordenar un poco este sitio."
"O poder infinito do Grimório Weiss não deve ser usado em tarefas tão triviais!","The infinite power of Grimoire Weiss is not to be used for such trivial tasks!","El inconmensurable poder de Grimoire Weiss no se emplea en tareas banales."
"Isso não é trivial!","This isn't trivial!","¡Como que banales!"
"Você é um homem apaixonado pelo trabalho árduo e honesto!","You are the one so enamored with hard, honest work!","¿No eras tú el defensor del trabajo duro y honrado?"
"Não existe nada que possa curar o Rabisco Negro?","Is there really nothing that can cure the Black Scrawl?","¿De verdad no hay nada capaz de curar la necrosis rúnica?"
"Nenhum medicamento feito pelos humanos pode sequer combatê-lo.","No medicine in the works of man can hope to stand against it.","Ningún medicamento humano puede hacerle frente."
"Tem que haver <FONT=ITALIC>alguma coisa</FONT> lá fora...","There has to be <FONT=ITALIC>something</FONT> out there...","Tiene que haber <FONT=ITALIC>algo</FONT>..."
"Talvez exista uma droga para aliviar temporariamente a dor, mas nenhuma pode realmente erradicar a doença.","Perhaps a drug exists to temporarily ease the pain, but none can truly eradicate the disease.","Quizá algo mitigue el dolor temporalmente, pero nada logra erradicarla."
"*suspiro*","*sigh*","*suspiro*"
"Mas se a lenda for verdadeira, então eu tenho a chave para salvar sua irmã!","But if the legend is true, then I hold the key to saving your sister!","Pero si la leyenda es cierta, ¡tengo la clave para salvar a tu hermana!"
"Você está certo. Vamos salvar Yonah E curar o Rabisco Negro!","You're right. We're gonna save Yonah AND cure the Black Scrawl!","Tienes razón. ¡Salvaremos a Yonah y curaremos la necrosis rúnica!"
"Assim que se fala, rapaz!","That's the spirit, lad!","¡Esa es la actitud, chaval!"
"Qual finalidade tem essa semente?","What possible use is that bulb?","¿Para qué podemos usar ese bulbo?"
"Você não sabe, Weiss? Você a planta no solo e o broto torna-se uma linda flor..","You don't know, Weiss? If you plant it in the ground, it turns into a pretty flower.","¿En serio, Weiss? Si lo plantas bajo tierra, nace una preciosa flor."
"Do processo botânico eu já sei! Apenas me pergunto onde alguém plantaria tal flor.","I am aware of the botanical process! I merely wonder where one would find suitable soil for such a task.","¡Estoy al corriente! Me preguntaba dónde encontrar el terreno adecuado."
"Na verdade, há um jardim ao lado da nossa casa.","Actually, there's a garden back at our place.","Pues tenemos un jardín en la parte trasera de casa."
"Yonah adora flores, então eu vou plantá-la para ela quando chegar em casa!","Yonah loves flowers, so I'm gonna plant it for her when I get home!","A Yonah le encantan las flores. Plantaré el bulbo cuando vuelva a casa."
"Ingredientes para uma refeição caseira... hmm?","Ingredients for a home-cooked...meal, hmm?","Ingredientes para hacer comida... casera, ¿eh?"
"Tem algo que você queira dizer?","Is there something you wanna say?","¿Quieres decir algo?"
"Oh, não! Não, não! Nadica de nada! La da dum dum dum do do...","Oh, no! No, no! Nothing at all! La da dum dum dum do do...","¡Ah, no! Para nada. ¡No, no! La, la, dum, dum, du, du..."
"Olha, eu sei que a Yonah não é uma chef de quatro estrelas ou algo assim, mas ela coloca o coração nisso!","Look, I know Yonah's not a four-star chef or anything, but she puts her heart into it!","Sé que Yonah no es la mejor cocinera del mundo, ¡pero le pone mucho empeño!"
"Apenas um verdadeiro idiota não apreciaria o esforço. Que tipo de irmão você acha que eu sou!?","Only a real jerk wouldn't appreciate the effort. What kind of brother do you think I am!?","Solo un idiota menospreciaría eso. ¡¿Qué tipo de hermano crees que soy?!"
"...Você me ouviu apontar algo do tipo?","Did you hear me imply anything of the sort?","¿Me has oído insinuar algo?"
"Acho que não.","I guess not.","Supongo que no."
"Só... Bem... Boa sorte.","Just... Well... Good luck.","Pues eso... buena suerte."
"...Sim.","...Yeah.","Ya..."
"Você certamente assumiu um trabalho bastante difícil desta vez.","You have certainly taken on a rather trying job this time.","Esta vez has aceptado una tarea de lo más compleja."
"Fala sério, Weiss, dá pra parar de reclamar?","Come on, Weiss, quit moaning, would you?","Venga, Weiss, no protestes más, ¿quieres?"
"Imagino que esse ovo deva valer uma boa quantia se vendido a quem der o maior lance.","I imagine this egg would fetch a princely sum if you sold it to the highest bidder.","Seguro que sacas una buena suma si vendes este huevo al mejor postor."
"Você sabe que não podemos fazer isso! A dona da taberna está esperando por ele!","You know we can't do that! The tavern lady's waiting for it!","¡Sabes que no podemos hacer eso! ¡La tabernera espera recibirlo!"
"Talvez devêssemos colocar nossa própria situação financeira à frente das preocupações de uma senhora idosa, hmmm?","Perhaps we should place our own financial situation ahead of the concerns of an elderly woman, hmmm?","¿Y si le damos prioridad a nuestra situación antes que a la suya?"
"Você esqueceu completamente da parte de ""parar de reclamar""!?","Did you forget about the whole 'quit moaning' thing!?","¡Te he dicho que no protestes más!"
"Ah...","Ah...","Ah..."
"Ah, droga!","Ah, crap!","¡Ah, mierda!"
"Isso não soou bem.","That did not sound good.","Eso no ha sonado nada bien."
"Acho que quebramos algo.","I think we broke something.","Creo que hemos roto algo."
"Bem, não há muito sentido em concluir a entrega agora. É melhor voltarmos e nos desculparmos.","Well, there is little point in finishing the delivery now. Best go back and apologize.","En fin, ya no tiene sentido completar la entrega. Vamos a disculparnos."
"Sim, acho que sim.","Yeah, I guess.","Supongo que sí."
"Ah, não. Essa tarefa de novo não.","Oh, no. Not this task again.","Ay, no, otra vez no..."
"Ah, tá tudo bem. Só precisamos ir devagar e com calma!","Aw, we'll be fine. We just need to go slow and take it easy!","Todo irá bien. Solo tenemos que ir más despacio y tomárnoslo con calma."
"Eu sou uma criatura de talentos fenomenais, mas esses dois são fora da curva.","I am a creature of phenomenal talents, but those are two that escape me.","Soy un ser con cualidades increíbles, pero esas dos se me escapan."
"Bem, com certeza não vou deixar a Kainé lidar com isso.","Well, I'm sure not gonna let Kainé handle it.","Bueno, lo que está claro es que Kainé no va a encargarse."
"De fato, a linguagem vulgar daquela vagabunda reduziria nossa preciosa carga a pó.","Indeed, the hussy's foul language would reduce our precious cargo to dust.","Sin duda. Con abrir la boca podría destrozar el valioso cargamento."
"Blá blá blá, cacete. Vamos logo.","Yap yap fuckin' yap. Get moving already.","Bla, bla, bla. ¡En marcha ya, hostia!"
"AINDA sem peixe!?","STILL no fish!?","¡¿Aún no han picado!?"
"Shhh! Você está assustando eles!","Shhh! You're scaring them away!","¡Sssh! ¡Que ahuyentas a los peces!"
"Ah. Eu...eu entendi.","Oh. I...I see.","Ah. Va-vale."
"A pesca bem-sucedida requer paciência, concentração, determinação, ambição...","Successful fishing requires patience, concentration, drive, ambition—","Para pescar hace falta paciencia, concentración, mentalidad, ambición..."
"Shhh! Você está assustando eles!","Shhh! You're scaring 'em away!","¡Sssh! ¡Que ahuyentas a los peces!"
"Ah! Sim. Com certeza.","Ah! Yes. Quite.","¡Ah! Sí. Vale."
"Eu aprendi com meus erros do passado! Desta vez, ficarei em silêncio!","I have learned from my past mistakes! This time I shall be silent!","¡He aprendido de mis errores! ¡Esta vez no abriré el pico! Los peces van a..."
"Por quê, aqueles peixes não terão ideia de que─","Why, those fish will have no idea that─","Los peces van a..."
"Shhh! Você está assustando eles!","Shhh! You're scaring 'em away!","¡Sssh! ¡Que ahuyentas a los peces!"
"Ah. Certo.","Oh. Right.","Ah, claro."
"......","......","......"
"Você está muito quieto, Weiss.","You're really quiet, Weiss.","Hoy estás de lo más callado, Weiss."
"Do contrário os peixes vão se assustar, não é mesmo?","The fish will be scared away otherwise, no?","Es que si hablo ahuyento a los peces, ¿no?"
"Sim, mas...é estranho.","Yeah, but...it's just weird.","Sí, pero... es que resulta tan raro..."
"Posso falar livremente, então?","May I talk freely, then?","¿Puedo hablar libremente, entonces?"
"Não.","No.","No."
"Então o que você quer que eu faça!?","Then what would you have me do!?","¡¿Pues qué quieres que haga?!"
"Shhh! Você está assustando eles!","Shhh! You're scaring 'em away!","¡Sssh! ¡Que ahuyentas a los peces!"
"...Maldição.","...Damn.","Maldita sea..."
"Talvez eu possa usar um pouco da minha magia para tirar esses peixes da água.","Perhaps I could use some of my magic to scoop the fish from the water.","Quizás podría usar algo de magia para sacar a los peces del agua."
"Espera, você consegue fazer isso?","Wait, you can do that?","¿Cómo? ¿Puedes hacer algo así?"
