"Controles","Pressione {01C280} para atacar e {01C298} para defender.","Controls","Press {01C280} to attack and {01C298} to defend.","Controles","Pulsa {01C280} para atacar y {01C298} para defender."
,"Você precisa desbloquear pelo menos mais um poço para usar isso.",,"You need to unlock at least one more well before you can use this.",,"Tienes que desbloquear al menos un pozo más para poder usar esto."
,"Você melhorou sua habilidade de pesca!",,"Your fishing skill has improved!",,"¡Has mejorado tu habilidad de pesca!"
,"Você usou <ITEM>.",,"You used the <ITEM>.",,"Has usado <ITEM>."
,"Traje ""kabuki"" obtido.",,"Obtained the ""Kabuki"" outfit.",,"Has obtenido el traje ""kabuki""."
,"Traje ""samurai"" obtido.",,"Obtained the ""Samurai"" outfit.",,"Has obtenido el traje ""samurái""."
,"Obrigado por jogar!",,"Thanks for playing!",,"¡Gracias por jugar!"
,"Forjou <ITEM> com sucesso!<LF><LF>Lv. <NUM> → LV. <NUM>",,"<ITEM> successfully forged!<LF><LF>Lv. <NUM> → Lv. <NUM>",,"¡Has forjado <ITEM> con éxito!<LF><LF>Nv. <NUM> → Nv. <NUM>"
"Objetivo da Missão","Chegue ao destino!","Mission Objective","Reach the destination!","Objetivo de misión","¡Ve al lugar de destino!"
"Objetivo da Missão","Complete todas as tarefas e chegue ao destino!","Mission Objective","Complete all the tasks and reach the destination!","Objetivo de misión","¡Completa todas las tareas y ve al lugar de destino!"
"Objetivo da Missão","Derrote todos os inimigos e chegue ao destino!","Mission Objective","Defeat all enemies and reach the destination!","Objetivo de misión","¡Derrota a todos los enemigos y ve al lugar de destino!"
"Objetivo da Missão","Derrote todos os alvos e chegue ao destino!","Mission Objective","Defeat all the targets and reach the destination!","Objetivo de misión","¡Derrota a todos los objetivos y ve al lugar de destino!"
"Objetivo da Missão","Derrote todos os inimigos!","Mission Objective","Defeat all enemies!","Objetivo de misión","¡Derrota a todos los enemigos!"
"Objetivo da Missão","Derrote o alvo!","Mission Objective","Defeat the target!","Objetivo de misión","¡Derrota al objetivo!"
"Objetivo da Missão","Derrote todos os alvos!","Mission Objective","Defeat all the targets!","Objetivo de misión","¡Derrota a todos los objetivos!"
"Objetivo da Missão","Derrote o maior número possível de inimigos!","Mission Objective","Defeat as many enemies as possible!","Objetivo de misión","¡Derrota a todos los enemigos que puedas!"
"Objetivo da Missão","Derrote todos os inimigos respeitando a regra!","Mission Objective","Defeat all enemies while obeying the rule!","Objetivo de misión","¡Derrota a todos los enemigos respetando la regla!"
"Objetivo da Missão","Derrote todos os inimigos sem usar magia!","Mission Objective","Defeat all enemies without using magic!","Objetivo de misión","¡Derrota a todos los enemigos sin usar magia!"
"Objetivo da Missão","Derrote todos os inimigos sem usar armas!","Mission Objective","Defeat all enemies without using weapons!","Objetivo de misión","¡Derrota a todos los enemigos sin usar armas!"
"Objetivo da Missão","Derrote todos os inimigos no local de destino!","Mission Objective","Defeat all enemies at the destination!","Objetivo de misión","¡Derrota a todos los enemigos en el lugar de destino!"
,"Missão cumprida!",,"Mission complete!",,"¡Misión completada!"
,"Missão não concluída!",,"Mission failed!",,"¡Misión no superada!"
,"Tarefa 1 concluída!",,"Task 1 completed!",,"¡Tarea 1 completada!"
,"Tarefa 2 concluída!",,"Task 2 completed!",,"¡Tarea 2 completada!"
,"Tarefa 3 concluída!",,"Task 3 completed!",,"¡Tarea 3 completada!"
,"Tarefa 4 concluída!",,"Task 4 completed!",,"¡Tarea 4 completada!"
,"Tarefa 5 concluída!",,"Task 5 completed!",,"¡Tarea 5 completada!"
,"Tarefa 6 concluída!",,"Task 6 completed!",,"¡Tarea 6 completada!"
,"Tarefa 7 concluída!",,"Task 7 completed!",,"¡Tarea 7 completada!"
,"Tarefa 8 concluída!",,"Task 8 completed!",,"¡Tarea 8 completada!"
,"Tarefa 9 concluída!",,"Task 9 completed!",,"¡Tarea 9 completada!"
,"Você não concluiu todas as tarefas!",,"You haven't completed all the tasks!",,"¡No has completado todas las tareas!"
,"Você não derrotou todos os inimigos!",,"You haven't defeated all the enemies!",,"¡No has derrotado a todos los enemigos!"
,"Você não derrotou todos os alvos!",,"You haven't defeated all the targets!",,"¡No has derrotado a todos los objetivos!"
,"Derrote os alvos!",,"Defeat the targets!",,"¡Derrota a los objetivos!"
,"Derrote todos os inimigos cumprindo todas as regras!",,"Defeat all enemies while obeying all rules!",,"¡Derrota a todos los enemigos cumpliendo con todas las reglas!"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"O progresso não salvo será perdido.<LF><LF>Sair do jogo e retornar à tela inicial?<LF><LF><ALT=-1,<CB=RETURN_TITLE>>Sim</ALT><LF><ALT=-1,<CB=Novels_First_Choices_02>>Não</ALT>",,"You will lose any unsaved progress.<LF><LF>Quit the game and return to the title screen?<LF><LF><ALT=-1,<CB=RETURN_TITLE>>Yes</ALT><LF><ALT=-1,<CB=Novels_First_Choices_02>>No</ALT>",,"El progreso no guardado se perderá.<LF><LF>¿Salir del juego y volver a la pantalla de título?<LF><LF><ALT=-1,<CB=RETURN_TITLE>>Sí</ALT><LF><ALT=-1,<CB=Novels_First_Choices_02>>No</ALT>"
,"<ALT=-1,<CB=Novels_First_Choices_03>>Sim</ALT><LF><ALT=-1,<CB=Novels_First_Choices_01>>Não</ALT>",,"<ALT=-1,<CB=Novels_First_Choices_03>>Yes</ALT><LF><ALT=-1,<CB=Novels_First_Choices_01>>No</ALT>",,"<ALT=-1,<CB=Novels_First_Choices_03>>Sí</ALT><LF><ALT=-1,<CB=Novels_First_Choices_01>>No</ALT>"
,"Você entregou a bolsa vermelha.",,"You handed over the red bag.",,"Has entregado el zurrón rojo."
,"Invocando seus últimos poderes mágicos restantes, agora você pode pressionar {01C281} para disparar Lança Sombria.",,"Summoning the last of your magic power, you can now press {01C281} to fire Dark Lance.",,"Reuniendo los últimos poderes mágicos que te quedan, puedes pulsar {01C281} para ejecutar lanza oscura."
,"Está escuro demais para enxergar qualquer coisa.",,"It's too dark to see anything.",,"Está demasiado oscuro, no se ve nada."
,"Você reabasteceu a lanterna com óleo!",,"You refilled the lantern with oil!",,"¡Has rellenado el farol de aceite!"
,,,,,
,"A porta está empenada e inutilizável.",,"The door is warped and unusable.",,"La puerta está torcida y ya no sirve."
,"Um novo arquivo salvo foi desbloqueado.<LF>Seus dados salvos até este ponto ficarão temporariamente inutilizáveis.",,"A new save file has been unlocked.<LF>Your save data up to this point will be temporarily unusable.",,"Se ha desbloqueado un nuevo archivo de guardado.<LF>No podrás usar temporalmente los datos guardados hasta este punto."
,"Qual é o nome de alguém importante para você?",,"What's the name of someone important to you?",,"¿Qué nombre es importante para ti?"
,"Se você escolher esta opção, seus dados salvos atuais serão apagados e os dados salvos excluídos no final D serão restaurados.<LF>Tem certeza disso?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_02>>Sim</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>Não</ALT>",,"If you choose this option, your current save data will be erased and the save data deleted in Ending D will be restored.<LF>Are you sure about this?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_02>>Yes</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>",,"Si eliges esta opción, tus datos guardados actuales se eliminarán y los datos eliminados del Final D se restaurarán.<LF>¿Seguro que quieres continuar?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_02>>Sí</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>"
,"Mesmo que você não vá em frente agora, poderá<LF>mudar sua decisão se zerar o jogo novamente.<LF>Tem certeza de que deseja continuar?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_03>>Sim</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>Não</ALT>",,"Even if you elect against it this time, you can always<LF>return to this selection by clearing the game again.<LF>Are you still sure about this?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_03>>Yes</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>",,"Aunque no te decantes por ella, podrás cambiar tu decisión si superas el juego de nuevo.<LF>¿Seguro que quieres continuar?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_03>>Sí</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>"
,"Esses dados salvos serão excluídos quando você restaurar os seus,<LF>portanto, você só pode selecionar esta opção uma vez. Deseja continuar mesmo assim?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_04>>Sim</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>Não</ALT>",,"Once your save data has been restored, this save data will be erased,<LF>so you can only choose this option once. Are you really sure?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_04>>Yes</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>",,"Estos datos se eliminarán cuando restaures los tuyos,<LF>así que solo puedes seleccionar esta opción una vez. ¿Seguro que quieres continuar?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_04>>Sí</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>"
,"Tem certeza de que deseja continuar?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0060_Set>>Sim</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>Não</ALT>",,"Are you really sure about this?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0060_Set>>Yes</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>",,"¿Seguro que quieres continuar?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0060_Set>>Sí</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>"
,"Você digitou o nome incorreto.<LF>Gostaria de tentar novamente?<LF><LF><ALT=-1,<CB=EID_9400_a0260g_0080_Set>>Sim</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>Não</ALT>",,"You did not input the correct name.<LF>Would you like to try again?<LF><LF><ALT=-1,<CB=EID_9400_a0260g_0080_Set>>Yes</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>",,"No has introducido el nombre correcto.<LF>¿Quieres intentarlo de nuevo?<LF><LF><ALT=-1,<CB=EID_9400_a0260g_0080_Set>>Sí</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>"
,"Tela de entrada de nome<LF>Qual é o nome de alguém importante para você?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0080_Start>>Nome correto</ALT><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0070_Set>>Nome incorreto</ALT>",,"Name Entry Screen<LF>What's the name of someone important to you?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0080_Start>>Correct name</ALT><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0070_Set>>Incorrect name</ALT>",,"Pantalla de introducción de nombre<LF>¿Qué nombre es importante para ti?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0080_Start>>Nombre correcto</ALT><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0070_Set>>Nombre incorrecto</ALT>"
,"Você digitou o nome correto.",,"The correct name was entered.",,"Has introducido el nombre correcto."
,"Selecione um arquivo para restaurar os dados perdidos.",,"Select a file to restore the lost save data to.",,"Selecciona un archivo para restaurar los datos perdidos."
,"Todos os dados do jogo já salvos serão substituídos.<LF>Tem certeza de que deseja continuar?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0082_Start>>Sim</ALT><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0081_Start>>Não</ALT>",,"This will overwrite the game data already saved here.<LF>Are you sure about this?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0082_Start>>Yes</ALT><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0081_Start>>No</ALT>",,"Se sobrescribirán los datos del juego ya guardados.<LF>¿Seguro que quieres continuar?<LF><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0082_Start>>Sí</ALT><LF><ALT=-1,<CB=IN_EID_9400_a0260g_0081_Start>>No</ALT>"
,"※ Mostra a tela de salvamento e solicita a seleção de um arquivo.",,"※ Display the save screen and have them choose a file.",,"※ Mostrar la pantalla de guardado e instar a seleccionar un archivo."
,"Todos os arquivos salvos serão restaurados.",,"All save files will be restored.",,"Se restaurarán todos los archivos de guardado."
,"Excluindo a memória #4...<LF>(※ Planejamos exibir isso de forma forçada e fazer com que progrida no nível do sistema)",,"Erasing memory #4...<LF>(※ We plan to have this forcibly displayed and progress at the system level)",,"Eliminando recuerdo n.º 4...<LF>(※ Tenemos pensado mostrar esto a la fuerza y que progrese a nivel del sistema)"
,"Excluída.<LF>(※ Planejamos exibir isso de forma forçada e fazer com que progrida no nível do sistema)",,"Erased.<LF>(※ We plan to have this forcibly displayed and progress at the system level)",,"Eliminado.<LF>(※ Tenemos pensado mostrar esto a la fuerza y que progrese a nivel del sistema)"
,"Quer mesmo abrir mão da pessoa que você valoriza?<LF><LF><ALT=-1,<CB=EID_9400_a0299_Start>>Sim</ALT><LF><ALT=-1,<CB=EID_9400_a0260g_0010_start>>Não</ALT>",,"Are you sure you want to give up on the person you cherish?<LF><LF><ALT=-1,<CB=EID_9400_a0299_Start>>Yes</ALT><LF><ALT=-1,<CB=EID_9400_a0260g_0010_start>>No</ALT>",,"¿Seguro que quieres renunciar a tu ser querido?<LF><LF><ALT=-1,<CB=EID_9400_a0299_Start>>Sí</ALT><LF><ALT=-1,<CB=EID_9400_a0260g_0010_start>>No</ALT>"
,"Você não pode salvar neste arquivo.<LF>Você só pode salvar no quarto arquivo.",,"You cannot save to this file.<LF>You can only save to the fourth file.",,"No puedes guardar en este archivo.<LF>Solo puedes guardar en el cuarto archivo."
,"Você não pode salvar no quarto arquivo.",,"You cannot save to the fourth file.",,"No puedes guardar en el cuarto archivo."
,"O poder do Grimório Weiss concede a você o uso da magia.",,"The power of Grimoire Weiss grants you the use of magic.",,"El poder de Grimoire Weiss te concede el uso de la magia."
,"Recuperar a pessoa que você valoriza?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_01>>Sim</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>Não</ALT>",,"Recover the person you cherish?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_01>>Yes</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>",,"¿Recuperar a tu ser querido?<LF><LF><ALT=-1,<CB=E_Ending_Sequence_01>>Sí</ALT><LF><ALT=-1,<CB=EID_9400_a0280_Start>>No</ALT>"
"Aceitar a missão?","<ALT=-1,<CB=snow_Start_Subquest>>Sim</ALT><LF><ALT=-1,<CB=snow_Cancel_Subquest>>Não</ALT>","Accept the quest?","<ALT=-1,<CB=snow_Start_Subquest>>Yes</ALT><LF><ALT=-1,<CB=snow_Cancel_Subquest>>No</ALT>","¿Aceptar la misión?","<ALT=-1,<CB=snow_Start_Subquest>>Sí</ALT><LF><ALT=-1,<CB=snow_Cancel_Subquest>>No</ALT>"
,"Você aceitou a missão ""O Presente Prometido"".",,"You accepted the quest ""The Promised Gift"".",,"Has aceptado la misión ""El regalo prometido""."
,"Os dados salvos estão corrompidos e não podem ser carregados.<LF>Exclua seus dados salvos para continuar.",,"The save data is corrupted and cannot be loaded.<LF>Erase your save data to continue.",,"Los datos guardados están corruptos y no se pueden cargar.<LF>Elimínalos para continuar."
,"Não há espaço de armazenamento suficiente.<LF>Não foi possível salvar os dados.",,"There is insufficient storage space.<LF>Failed to save data.",,"No hay suficiente espacio de almacenamiento.<LF>No se han podido guardar los datos."
,"Não foi possível carregar os dados.<LF>Tente novamente mais tarde.",,"Failed to load save data.<LF>Please try again later.",,"No se han podido cargar los datos.<LF>Inténtalo más tarde."
,"Não foi possível salvar os dados.<LF>Tente novamente mais tarde.",,"Failed to save data.<LF>Please try again later.",,"No se han podido guardar los datos.<LF>Inténtalo más tarde."
,"As informações de login foram alteradas.<LF>Retornando à tela inicial.",,"Sign-in information has changed.<LF>Returning to the title screen.",,"La información de inicio de sesión ha cambiado.<LF>Volviendo a la pantalla de título."
,"Ocorreu um erro.<LF>Retornando à tela inicial.<LF>Tente novamente mais tarde.",,"An error has occurred.<LF>Returning to the title screen.<LF>Please try again later.",,"Se ha producido un error.<LF>Volviendo a la pantalla de título.<LF>Inténtalo más tarde."
"Selecionar Idioma","Selecione um idioma.","Language Select","Select a language to use.","Selección de idioma","Elige un idioma."
"Idioma: <LANGUAGE>","Você não poderá mudar de idioma após o início do jogo.<LF>Iniciar o jogo neste idioma?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>","Language: <LANGUAGE>","You cannot change languages after the game has started.<LF>Start the game with this language?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>","Idioma: <LANGUAGE>","No podrás cambiar de idioma una vez comenzada la partida.<LF>¿Iniciar la partida en este idioma?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"OK",,"OK",,"ACEPTAR"
,"OK",,"OK",,"ACEPTAR"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"NÃO",,"NO",,"NO"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"A batalha automática foi ativada.<LF>A função {01C28B} mudará de ""Travar-Mira"" para ""Pausar a batalha automática"".",,"Auto-battle has been turned on.<LF>{01C28B}'s function will change from ""lock-on"" to ""pause auto-battle.""",,"Has activado el modo de combate automático.<LF>La función de {01C28B} pasa de ""fijado"" a ""pausar combate automático""."
,"A batalha automática foi desligada.<LF>A função {01C28B} será alterada para ""Travar-Mira"".<LF>Com a mira travada, incline {01C2B6} para a esquerda ou direita para alternar os alvos.",,"Auto-battle has been turned off.<LF>{01C28B}'s function will change to ""lock-on."" <LF>While locked on, tilt {01C2B6} left or right to switch targets.",,"Has desactivado el modo de combate automático.<LF>La función de {01C28B} pasa a ""fijado"".<LF>Una vez fijado, mueve {01C2B6} a izquierda o derecha para cambiar de objetivo."
,"As prateleiras não podem mais ser movidas.",,"The shelves can no longer be moved.",,"Ya no puedes mover las estanterías."
,"A conexão com o controle sem fio foi perdida.<LF>Reconecte seu controle sem fio.",,"Connection with the wireless controller has been lost.<LF>Please reconnect your wireless controller.",,"Se ha perdido la conexión con el mando inalámbrico.<LF>Vuelve a conectarlo."
,"A conexão com o controle foi perdida.<LF>Selecione seu perfil novamente.",,"Connection with the controller has been lost.<LF>Please reselect your profile.",,"Se ha perdido la conexión con el mando.<LF>Vuelve a seleccionar tu perfil."
,"Selecione seu perfil.<LF>Lembre-se de que você não poderá salvar seus dados<LF>se selecionar outro perfil diferente do atual.",,"Please reselect your profile.<LF>Note that selecting a profile different from<LF>the current one will cause your data to not be saved.",,"Vuelve a seleccionar tu perfil.<LF>Recuerda que no podrás guardar tus datos<LF>si seleccionas otro perfil diferente al actual."
,"Se fizer isso, você não poderá verificar certas informações importantes,<LF>como indicadores de ação e medidores de chefe.",,"This will result in an inability to verify important information such as action indicators and boss gauges.",,"Si lo haces, ya no podrás verificar cierta información de interés<LF>como los indicadores de acción y los medidores de jefe."
,"Você precisará digitar seu nome novamente para corresponder ao idioma escolhido.<LF>Alterar idioma?<LF><LF><ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT>",,"Your name will need to be reentered to match the chosen language.<LF>Change language?<LF><LF><ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT>",,"Tendrás que volver a introducir tu nombre para que coincida con el idioma elegido.<LF>¿Cambiar el idioma?<LF><LF><ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT>"
,"Esses dados não podem ser carregados, pois não correspondem ao idioma do texto atual.<LF>Escolha o mesmo idioma dos dados salvos para prosseguir com o carregamento.",,"This save data cannot be loaded as it does not match the current text language.<LF>It can be loaded if the display language is changed to match the save data.",,"No puedes cargar estos datos, ya que no coinciden con el idioma de texto actual.<LF>Elige el mismo idioma de los datos guardados para proceder con la carga."
,"Os dados salvos e o idioma do texto não correspondem.<LF>Digite seu nome novamente.",,"The save data and text language do not match.<LF>Please reenter your name.",,"Los datos guardados y el idioma de texto no coinciden.<LF>Introduce tu nombre de nuevo."
"Controles","Pressione {01C280}/{01C2A3} para atacar e {01C298} para defender.","Controls","Press {01C280}/{01C2A3} to attack and {01C298} to defend.","Controles","Pulsa {01C280}/{01C2A3} para atacar y {01C298} para defender."
"Combos","Pressione {01C280}/{01C2A3} várias vezes para executar um combo.","Combos","Tap {01C280}/{01C2A3} repeatedly to perform a combo attack.","Combos","Pulsa {01C280}/{01C2A3} varias veces para ejecutar un combo."
"Carrinhos de Mina","Use {01C290} {01C291} {01C292} {01C293} para alterar a direção de seus ataques mágicos enquanto monta em um carrinho de mina.<LF><LF>Você pode aumentar a velocidade do carrinho movendo-se para frente<LF>e desacelerá-lo movendo-se para trás.","Mine Carts","Use {01C290}{01C291}{01C292}{01C293} to change the direction of your magical attacks while riding a mine cart.<LF><LF>Also, the speed of the mine cart can be increased by moving toward the forward-end<LF>and decreased by moving toward the back-end.","Vagonetas de minería","Usa {01C290}{01C291}{01C292}{01C293} para cambiar la dirección de tus ataques mágicos mientras vas en una vagoneta.<LF><LF>Puedes aumentar la velocidad de la vagoneta si te desplazas hacia la parte delantera<LF>y reducirla si te desplazas hacia la parte trasera."
"Pescaria","Quando ""Pesca {017E}""aparecer na tela, pressione {017E} para<LF>escolher a isca e comece a pescar. Quando a vara dobrar, pressione {017E} para prender o peixe.<LF>Em seguida, puxe na direção oposta à posição do peixe para reduzir seu HP.<LF>Quando o HP chegar a zero, ele será capturado automaticamente.","Fishing","When ""{017E}Fish"" is displayed on the screen, press {017E} to choose your bait<LF>and begin fishing. When your rod bends, press {017E} to hook the fish,<LF>then hold the direction opposite the fish's position to reduce its HP.<LF>When the fish's HP reaches zero, you will automatically land it.","Pesca","Cuando aparezca ""{017E}Pescar"" en la pantalla, pulsa {017E} para elegir el cebo<LF>y empezar a pescar. Cuando se doble la caña, pulsa {017E} para recoger carrete.<LF>Luego, tira en la dirección contraria a la posición del pez para reducir sus PV.<LF>Cuando lleguen a cero, lo sacarás automáticamente."
"Esmagador de Crânios","Pressione {017F}/{01C2A4} enquanto estiver no ar para executar um ataque especial de quebrar crânios.","Skull Cracker","Press {017F}/{01C2A4} while airborne for a skull-cracking special attack.","Quebrantacráneos","Pulsa {017F}/{01C2A4} en el aire para ejecutar un ataque especial quebrantacráneos (solo con espada)."
"Esquivar-se","Pressione {01C297} de frente para um inimigo para realizar um desvio evasivo e se posicionar atrás dele.","Sidestepping","Press {01C297} while moving toward an enemy to perform an evasive sidestep that places you behind them.","Hacerse a un lado","Mantén pulsado {01C28C}{01C28D}{01C28E}{01C28F} en dirección a un enemigo y pulsa {01C299} para posicionarte detrás de él."
"Esquivar-se e Atacar","Pressione {01C280} no momento certo após uma esquiva para desferir um ataque único.","Sidestep Attacks","Press {01C280} at the right moment after a sidestep for a unique attack.","Hacerse a un lado y atacar","Pulsa {01C280} en el momento preciso después de hacerte a un lado para ejecutar un ataque único."
"Quebras de Guarda com Ataque Pesado","Pressione {017F} para executar ataques pesados que podem romper a guarda de um inimigo com maior facilidade.","Heavy Attack Guard Breaks","Press {017F} to unleash heavy attacks that can more easily break an enemy's guard.","Rupturas de guardia con ataques pesados","Pulsa {017F} para ejecutar ataques pesados que puedan romper la guardia de un enemigo con mayor facilidad."
"Controlando Javalis","Montar/Desmontar: {017E}<LF>Mover: {01C28C} {01C28D} {01C28E} {01C28F}<LF>Acelerar: {01C284}<LF>Drift: Segure {01C283} e mova {01C28E} {01C28F} para esquerda ou direita enquanto acelera.","Controlling Boars","Mount/Dismount: {017E}<LF>Move: {01C28C}{01C28D}{01C28E}{01C28F}<LF>Accelerate: {01C284}<LF>Drift: Hold {01C283} and press{01C28E}{01C28F} left or right while accelerating.","Montar en jabalí","Montar/Desmontar: {017E}<LF>Desplazarse: {01C28C}{01C28D}{01C28E}{01C28F}<LF>Acelerar: {01C284} <LF>Girar: mantén pulsado {01C283} y pulsa {01C28E}{01C28F} a izquierda o derecha mientras aceleras."
"Bombas","Pegar/Soltar: {017E}<LF>Arremessar: {01C28C} {01C28D} {01C28E} {01C28F}+{017E}","Bombs","Pick up/Drop: {017E}<LF>Throw: {01C28C}{01C28D}{01C28E}{01C28F}+{017E}","Bombas","Recoger/Soltar: {017E}<LF>Lanzar: {01C28C}{01C28D}{01C28E}{01C28F}+{017E}"
"Noções Básicas de Combo","No final de um combo de espada com uma mão realizada com {01C280},<LF>pressione {017F} para executar um ataque pesado e reduzir o tempo<LF>entre um combo e outro.","Combo Basics","At the end of a one-handed sword combo performed with {01C280},<LF>press {017F} to execute a heavy attack and cut down the time<LF>between one combo and the next.","Fundamentos de los combos","Pulsa {01C280} al final de un combo de espada a una mano con {017F}<LF>para ejecutar un ataque pesado y reducir el tiempo<LF>entre un combo y el siguiente."
"Lobos Lutadores","Se um lobo te morder, pressione {01C280}/{01C2A3} repetidamente para livrar-se dele.","Fighting Wolves","If a wolf bites you, tap {01C280}/{01C2A3} repeatedly to shake it off.","Luchar contra lobos","Si un lobo te muerde, pulsa {01C280}/{01C2A3} repetidamente para que te suelte."
"Explosões Sombrias Fortes","O primeiro raio de uma Explosão Sombria é mais poderoso que o resto.<LF>Para disparar rapidamente esses raios poderosos, pressione {01C299} repetidamente em vez de mantê-lo pressionado.","Stronger Dark Blasts","The first bolt of a Dark Blast is stronger than the rest.<LF>To rapid-fire these powerful blasts, tap {01C299} repeatedly instead of holding it down.","Explosiones oscuras más poderosas","El primer proyectil de una Explosión oscura es más poderoso que el resto.<LF>Para disparar rápido estas potentes descargas,<LF>pulsa {01C299} repetidamente en lugar de mantenerlo pulsado."
"Evadindo","Pressione {01C297} para dar uma cambalhota.<LF>Mantenha uma direção enquanto desvia para correr.","Evading","Press {01C297} to perform an evasive roll.<LF>Continue holding a direction while evading to sprint.","Esquivar","Pulsa {01C297} para ejecutar una voltereta.<LF>Mantén una dirección mientras esquivas para correr."
"Travar Mira","Pressione {01C28B}/¥ para mirar em um inimigo próximo.<LF>Uma vez travado, use a câmera ou role a roda do mouse para cima, ou para baixo, para alternar os alvos.","Lock-On","Press {01C28B}/¥ to set a nearby foe as your target.<LF>While locked on, use your camera or scroll the mouse wheeel up or down to switch targets.","Fijado","Pulsa {01C28B}/¥ para fijar a un enemigo cercano como objetivo.<LF>Una vez fijado, usa la cámara o mueve la rueda del ratón arriba o abajo para cambiar de objetivo."
,"Atualize seu aplicativo para a versão mais recente.",,"Please updae your application to the most recent version.",,"Actualiza tu aplicación a la versión más reciente."
,"Kainé voltou ao seu traje padrão.",,"Kainé has returned to her default costume.",,"Kainé vuelve a llevar su atuendo predeterminado."
,"Você não pode iniciar um novo jogo até concluir o final E.",,"You cannot start a new game until completing Ending E.",,"No puedes empezar una nueva partida hasta que completes el Final E."
,"Esta porta parece que não irá abrir.",,"It seems this door will not open.",,"Esta puerta no parece abrirse."
,"Prossiga além deste ponto e você não poderá salvar até que a batalha termine.<LF>Deseja passar pela porta?<LF><LF><ALT=-1,<CB=JUMP_MAP_DLC_01>>Sim</ALT><LF><ALT=-1>Não</ALT>",,"Proceed beyond this point and you will be unable to save until the battle is over.<LF>Do you want to go through the door?<LF><LF><ALT=-1,<CB=JUMP_MAP_DLC_01>>Yes</ALT><LF><ALT=-1>No</ALT>",,"Si continúas, no podrás guardar la partida hasta que termines el combate.<LF>¿Seguro que quieres cruzar la puerta?<LF><LF><ALT=-1,<CB=JUMP_MAP_DLC_01>>Sí</ALT><LF><ALT=-1>No</ALT>"
