"Salvar?","Save?","¿Guardar?"
"Recebi uma carta do rei de Facade.<LF>Ele precisa que você resolva um ""problema"". O que será dessa vez?","I got a letter from the king of Facade.<LF>He needs you to deal with an ""issue."" Wonder what that's about?","Tengo una carta del rey de Fachada.<LF>Dice que necesita que te encargues de un ""asunto"". ¿Qué será?"
"Um dos aldeões está tendo problemas com um javali selvagem.<LF>Esses javalis são um problemão. Você poderia ajudá-lo?","One of the villagers is having problems with a wild boar.<LF>Those boars can be a real handful. Maybe you could help out?","Uno de los aldeanos tiene problemas con un jabalí salvaje.<LF>Esos jabalís pueden ser un verdadero coñazo. ¿Podrías ayudarle?"
"Recebi um trabalho do carteiro em Beira-Mar.<LF>Ele precisa da sua ajuda com um assunto pessoal.","I've got a job from the postman in Seafront.<LF>He needs your help with a personal matter.","Tengo un trabajo del cartero de Ciudad Costera.<LF>Necesita tu ayuda con un asunto personal."
"Recebi outro trabalho daquele carteiro de Beira-Mar.<LF>Parece que uma velha ranzinza tá causando problemas.","I've got another job from that Seafront postman.<LF>Apparently some cranky old lady is giving him trouble.","Tengo otro trabajo del cartero de Ciudad Costera.<LF>Por lo visto, una vieja cascarrabias le está dando la lata."
"Recebi uma carta do carteiro de Beira-Mar.<LF>Parece que ele tem uma mensagem para você. Que misterioso!","I got a letter from the Seafront postman.<LF>Apparently he has a message for you. How mysterious!","Tengo una carta del cartero de Ciudad Costera.<LF>Al parecer, tiene algo que decirte. ¡Qué misterio, por favor!"
"Estou preocupado com a criança no Lixão que toca a Armamento dos Dois Irmãos. Você se importaria de visitá-lo?","I'm worried about the kid at the Junk Heap who runs Two Brothers Weaponry. You mind paying him a visit?","Algo ocurre en la chatarrería.<LF>Me preocupa el chico que lleva la armería de los hermanos. ¿Puedes hacerles una visita?"
"Tenho um trabalho de Facade.<LF>Alguém está preocupado com seu filho.","I have a job from Facade. <LF>Somebody's worried about his son.","Tengo un trabajo de Fachada.<LF>Alguien está preocupado por su hijo."
"MAPA","MAP","MAPA"
"SEM MAPA","NO MAP","SIN MAPA"
"Planta Medicinal","Medicinal Herb","Planta medicinal"
"Bálsamo Curativo","Health Salve","Bálsamo curativo"
"Poção de Recuperação","Recovery Potion","Poción recuperadora"
"Poção de Saúde (Grande)","Health Salve (Large)","Bálsamo curativo (grande)"
"Poção de Recuperação (Pequena)","Recovery Potion (Small)","Poción recuperadora (pequeña)"
"Poção de Recuperação (Média)","Recovery Potion (Medium)","Poción recuperadora (mediana)"
"Poção de Recuperação (Grande)","Recovery Potion (Large)","Poción recuperadora (grande)"
"Poção de Recuperação (Max)","Recovery Potion (Max)","Poción recuperadora (máx.)"
"Elixir de Saúde (Pequeno)","Health Elixir (Small)","Elixir de salud (pequeño)"
"Elixir de Saúde (Médio)","Health Elixir (Medium)","Elixir de salud (mediano)"
"Elixir de Saúde (Grande)","Health Elixir (Large)","Elixir de salud (grande)"
"Salva-Vidas","Lifesaver","Salvavidas"
"Pílula de Força","Strength Drop","Gota de fuerza"
"Cápsula de Força","Strength Capsule","Cápsula de fuerza"
"Gota de Magia","Magic Drop","Gota de magia"
"Cápsula Mágica","Magic Capsule","Cápsula de magia"
"Pílula de Defesa","Defense Drop","Gota de defensa"
"Cápsula de Defesa","Defense Capsule","Cápsula de defensa"
"Pílula de Espírito","Spirit Drop","Gota de espíritu"
"Cápsula de Espírito","Spirit Capsule","Cápsula de espíritu"
"Erva Antídoto","Antidotal Weed","Hierba antídoto"
"Grama Eco","Echo Grass","Hierba del eco"
"Sais Aromáticos","Smelling Salts","Sales olorosas"
"Fertilizante de Velocidade","Speed Fertilizer","Fertilizante veloz"
"Fertilizante de Floração","Flowering Fertilizer","Fertilizante de floración"
"Fertilizante de Colheita","Bounty Fertilizer","Fertilizante de abundancia"
"Semente de Abóbora","Pumpkin Seed","Semilla de calabaza"
"Semente de Melancia","Watermelon Seed","Semilla de sandía"
"Semente de Melão","Melon Seed","Semilla de melón"
"Semente de Cabaça","Gourd Seed","Semilla de calabacino"
"Semente de Tomate","Tomato Seed","Semilla de tomate"
"Semente de Berinjela","Eggplant Seed","Semilla de berenjena"
"Semente de Pimentão","Bell Pepper Seed","Semilla de pimiento morrón"
"Semente de Feijão","Bean Seed","Semilla de alubia"
"Muda de Trigo","Wheat Seedling","Plantón de trigo"
"Muda de Arroz","Rice Plant Seedling","Plantón de planta de arroz"
"Bulbo de Dália","Dahlia Bulb","Bulbo de dalia"
"Bulbo de Tulipa","Tulip Bulb","Bulbo de tulipán"
"Bulbo de Frésia","Freesia Bulb","Bulbo de fresia"
"Semente de Flor-da-Lua Vermelha","Red Moonflower Seed","Semilla de luna roja"
"Semente de Flor-da-Lua Dourada","Gold Moonflower Seed","Semilla de luna dorada"
"Semente de Flor-da-Lua Pêssego","Peach Moonflower Seed","Semilla de luna naranja"
"Semente de Flor-da-Lua Rosa","Pink Moonflower Seed","Semilla de luna rosa"
"Semente de Flor-da-Lua Azul","Blue Moonflower Seed","Semilla de luna azul"
"Semente de Flor-da-Lua Índigo","Indigo Moonflower Seed","Semilla de luna añil"
"Semente de Flor-da-Lua Branca","White Moonflower Seed","Semilla de luna blanca"
"Abóbora","Pumpkin","Calabaza"
"Melancia","Watermelon","Sandía"
"Melão","Melon","Melón"
"Cabaça","Gourd","Calabacino"
"Tomate","Tomato","Tomate"
"Berinjela","Eggplant","Berenjena"
"Pimentão","Bell Pepper","Pimiento morrón"
"Feijão","Beans","Alubias"
"Trigo","Wheat","Trigo"
"Arroz","Rice","Arroz"
"Dália","Dahlia","Dalia"
"Tulipa","Tulip","Tulipán"
"Frésia","Freesia","Fresia"
"Flor-da-Lua Vermelha","Red Moonflower","Flor lunar roja"
"Flor-da-Lua Dourada","Gold Moonflower","Flor lunar dorada"
"Flor-da-Lua Pêssego","Peach Moonflower","Flor lunar naranja"
"Flor-da-Lua Rosa","Pink Moonflower","Flor lunar rosa"
"Flor-da-Lua Azul","Blue Moonflower","Flor lunar azul"
"Flor-da-Lua Índigo","Indigo Moonflower","Flor lunar añil"
"Flor-da-Lua Branca","White Moonflower","Flor lunar blanca"
"Minhoca Marinha","Lugworm","Lombriz marina"
"Minhoca","Earthworm","Lombriz de tierra"
"Isca","Lure","Señuelo"
"Sardinha","Sardine","Sardina"
"Carpa","Carp","Carpa"
"Baiacu","Blowfish","Pez globo"
"Brema","Bream","Besugo"
"Tubarão","Shark","Tiburón"
"Marlim Azul","Blue Marlin","Aguja azul"
"Dunkleosteus","Dunkleosteus","Dunkleosteus"
"Truta Arco-Íris","Rainbow Trout","Trucha arcoíris"
"Achigã","Black Bass","Lubina"
"Bagre Gigante","Giant Catfish","Pez gato gigante"
"Peixe Real","Royal Fish","Pez real"
"Hyneria","Hyneria","Hyneria"
"Peixe-Areia","Sandfish","Pez de arena"
"Rizodonte","Rhizodont","Rizodóntido"
"Peixe Xamã","Shaman Fish","Pez chamán"
"Planta Aquática","Aquatic Plant","Planta acuática"
"Madeira Seca","Deadwood","Madera seca"
"Balde Enferrujado","Rusty Bucket","Cubo oxidado"
"Lata Vazia","Empty Can","Lata vacía"
"Minério de Ouro","Gold Ore","Mineral de oro"
"Minério de Prata","Silver Ore","Mineral de plata"
"Minério de Cobre","Copper Ore","Mineral de cobre"
"Minério de Ferro","Iron Ore","Mineral de hierro"
"Cristal","Crystal","Cristal"
"Pirita","Pyrite","Pirita"
"Moldavita","Moldavite","Moldavita"
"Meteorito","Meteorite","Meteorito"
"Âmbar","Amber","Ámbar"
"Fluorita","Fluorite","Fluorita"
"Argila","Clay","Arcilla"
"Frutas Silvestres","Berries","Bayas"
"Samambaia Real","Royal Fern","Helecho real"
"Galho de Árvore","Tree Branch","Rama de árbol"
"Tora","Log","Tronco"
"Borracha Natural","Natural Rubber","Caucho"
"Hera","Ivy","Yedra"
"Líquen","Lichen","Liquen"
"Cogumelo","Mushroom","Seta"
"Seiva","Sap","Savia"
"Carneiro","Mutton","Carnero"
"Carne de Javali","Boar Meat","Carne de jabalí"
"Lã","Wool","Lana"
"Pele de Javali","Boar Hide","Piel de jabalí"
"Pele de Lobo","Wolf Hide","Piel de lobo"
"Presa de Lobo","Wolf Fang","Colmillo de lobo"
"Seda de Aranha Gigante","Giant Spider Silk","Seda de araña gigante"
"Presas de Morcego","Bat Fang","Colmillo de murciélago"
"Asas de Morcego","Bat Wing","Ala de murciélago"
"Carne de Cabra","Goat Meat","Carne de cabra"
"Pele de Cabra","Goat Hide","Piel de cabra"
"Carne de Veado","Venison","Carne de venado"
"Seda de Aranha Arco-Íris","Rainbow Spider Silk","Seda de araña arcoíris"
"Fígado de Javali","Boar Liver","Hígado de jabalí"
"Garra de Escorpião","Scorpion Claw","Pinza de escorpión"
"Cauda de Escorpião","Scorpion Tail","Cola de escorpión"
"Placa de Metal Amassada","Dented Metal Board","Tablero metálico dentado"
"Parafuso Desgastado","Stripped Bolt","Tornillo pasado de rosca"
"Lente Quebrada","Broken Lens","Lente rota"
"Cabo Cortado","Severed Cable","Cable cortado"
"Braço Quebrado","Broken Arm","Brazo roto"
"Antena Quebrada","Broken Antenna","Antena rota"
"Motor Quebrado","Broken Motor","Motor estropeado"
"Bateria Quebrada","Broken Battery","Batería rota"
"Interruptor Misterioso","Mysterious Switch","Interruptor misterioso"
"Engrenagem Grande","Large Gear","Engranaje grande"
"Liga de Titânio","Titanium Alloy","Aleación de titanio"
"Liga de Memória","Memory Alloy","Aleación de memoria"
"Pilha de Ferrugem","Rusted Clump","Pila de óxido"
"Óleo de Máquina","Machine Oil","Aceite de máquina"
"Colar Abandonado","Forlorn Necklace","Collar abandonado"
"Anel Torcido","Twisted Ring","Anillo retorcido"
"Brinco Quebrado","Broken Earring","Pendiente roto"
"Linda Gargantilha","Pretty Choker","Gargantilla hermosa"
"Metal Perfurante","Metal Piercing","Arete metálico"
"Pulseira Discreta","Subdued Bracelet","Brazalete apagado"
"Guia Técnico","Technical Guide","Guía técnica"
"Livro Empoeirado","Grubby Book","Libro mugroso"
"Dicionário Espesso","Thick Dictionary","Diccionario gordo"
"Livro Fechado","Closed Book","Libro cerrado"
"Livro de Colorir Usado","Used Coloring Book","Libro para colorear usado"
"Livro Escolar Antigo","Old Schoolbook","Libro de texto antiguo"
"Bolsa Suja","Dirty Bag","Bolsa sucia"
"Chapéu Chamativo","Flashy Hat","Sombrero llamativo"
"Luvas de Couro","Leather Gloves","Guantes de piel"
"Lenço de Seda","Silk Handkerchief","Pañuelo de seda"
"Botas de Couro","Leather Boots","Botas de piel"
"Máquina Complexa","Complex Machine","Máquina compleja"
"Máquina Elaborada","Elaborate Machine","Máquina elaborada"
"Máquina Simples","Simple Machine","Máquina simple"
"Relógio Parado","Stopped Clock","Reloj parado"
"Relógio de Pulso Quebrado","Broken Wristwatch","Reloj de pulsera roto"
"Faca de Cozinha Enferrujada","Rusty Kitchen Knife","Cuchillo de cocina oxidado"
"Serra Quebrada","Broken Saw","Sierra rota"
"Taco de Metal Amassado","Dented Metal Bat","Bate de metal dentado"
"Concha","Shell","Concha"
"Gastrópode","Gastropod","Gasterópodo"
"Bivalve","Bivalve","Bivalvo"
"Alga","Seaweed","Alga"
"Garrafa Vazia","Empty Bottle","Botella vacía"
"Madeira Flutuante","Driftwood","Madera a la deriva"
"Pérola","Pearl","Perla"
"Pérola Negra","Black Pearl","Perla negra"
"Caranguejo","Crab","Cangrejo"
"Estrela-do-Mar","Starfish","Estrella de mar"
"Ovo de Tartaruga Marinha","Sea Turtle Egg","Huevo de tortuga marina"
"Cerâmica Quebrada","Broken Pottery","Cerámica rota"
"Rosa do Deserto","Desert Rose","Rosa del desierto"
"Ovo Gigante","Giant Egg","Huevo gigante"
"Aço Damasco","Damascus Steel","Acero de Damasco"
"Ovo de Águia","Eagle Egg","Huevo de águila"
"Ovo de Galinha","Chicken Egg","Huevo de gallina"
"Cauda de Rato","Mouse Tail","Cola de ratón"
"Cauda de Lagarto","Lizard Tail","Cola de lagarto"
"Chifre de Veado","Deer Antler","Asta de ciervo"
"Chave da Luz","Light Key","Llave de luz"
"Chave das Trevas","Darkness Key","Llave de oscuridad"
"Frésia Pressionada","Pressed Freesia","Fresia exprimida"
"Frésia em Vaso","Potted Freesia","Maceta de fresia"
"Frésia (Entrega)","Freesia (Delivery)","Fresia (entrega)"
"Monte de Sucata","Pile of Junk","Montón de chatarra"
"Moeda de Ouro Antiga","Old Gold Coin","Moneda de oro antigua"
"Mapa Marcado","Marked Map","Mapa marcado"
"Cartão-Chave AA","AA Keycard","Llave de tarjeta AA"
"Cartão-Chave KA","KA Keycard","Llave de tarjeta KA"
"Cartão-Chave SA","SA Keycard","Llave de tarjeta SA"
"Cartão-Chave TA","TA Keycard","Llave de tarjeta TA"
"Cartão-Chave NA","NA Keycard","Llave de tarjeta NA"
"Cartão-Chave HA","HA Keycard","Llave de tarjeta HA"
"Cartão-Chave MA","MA Keycard","Llave de tarjeta MA"
"Cartão-Chave YA","YA Keycard","Llave de tarjeta YA"
"Cartão-Chave RA","RA Keycard","Llave de tarjeta RA"
"Cartão-Chave WA","WA Keycard","Llave de tarjeta WA"
"Chave da Lua","Moon Key","Llave de luna"
"Chave da Estrela","Star Key","Llave de estrella"
"Farinha Fina","Fine Flour","Harina fina"
"Farinha Grossa","Coarse Flour","Harina gruesa"
"Frasco de Perfume","Perfume Bottle","Frasco de perfume"
"Pacote do Carteiro","Postman's Parcel","Paquete de cartero"
"Carta de Amor","Lover's Letter","Carta de amor"
"Filtro de Água","Water Filter","Filtro de agua"
"Bússola Real","Royal Compass","Brújula real"
"Musgo Moss","Vapor Moss","Musgo de vapor"
"Seda de Aranha do Vale","Valley Spider Silk","Seda de araña del valle"
"Livro da Vida Selvagem","Animal Guidebook","Guía de fauna"
"Guia Mineral","Ore Guidebook","Guía de minerales"
"Guia Botânico","Plant Guidebook","Guía botánica"
"Livro Vermelho","Red Book","Libro rojo"
"Livro Azul","Blue Book","Libro azul"
"Elixir da Velha Senhora","Old Lady's Elixir","Elixir de señora"
"Elixir da Velha Senhora+","Old Lady's Elixir+","Elixir de señora+"
"Pacote para Aerie","Parcel for The Aerie","Paquete para Nido del Águila"
"Pacote para Beira-Mar","Parcel for Seafront","Paquete para Ciudad Costera"
"Livro de Receitas","Cookbook","Libro de cocina"
"Pacote para Facade","Parcel for Facade","Paquete para Fachada"
"Ervas de Max","Max's Herbs","Hierbas de Max"
"Carga à Deriva","Drifting Cargo","Mercancía a la deriva"
"Carga à Deriva 2","Drifting Cargo 2","Mercancía a la deriva 2"
"Carga à Deriva 3","Drifting Cargo 3","Mercancía a la deriva 3"
